FileKey	Reporter	Code	SC
MWRI1	115	P202	S
MWRI1	121	P336	S
MWRI1	113	P353	S
MWRI1	117	P382	S
MWRI1	119	P10257	S
MWRI1	118	P15454	S
MWRI1	116	P1622	C
MWRI1	114	POOL	P
MWRI2	119	P1808	S
MWRI2	118	P2155	S
MWRI2	117	P3915	S
MWRI2	113	P4696	S
MWRI2	121	P11357	S
MWRI2	115	P11613	S
MWRI2	116	P1624	C
MWRI2	114	POOL	P
MWRI3	118	P5798	S
MWRI3	113	P6740	S
MWRI3	117	P6961	S
MWRI3	115	P7585	S
MWRI3	121	P10257	S
MWRI3	119	P11613	S
MWRI3	116	P1626	C
MWRI3	114	POOL	P
MWRI4	113	P8588	S
MWRI4	117	P9338	S
MWRI4	119	P10195	S
MWRI4	118	P10257	S
MWRI4	121	P11357	S
MWRI4	115	P336	S
MWRI4	116	P1627	C
MWRI4	114	POOL	P
MWRI5	115	P10300	S
MWRI5	119	P10395	S
MWRI5	113	P11357	S
MWRI5	121	P11613	S
MWRI5	118	P336	S
MWRI5	117	P15454	S
MWRI5	116	P1627	C
MWRI5	114	POOL	P
MWRI6	118	P12042	S
MWRI6	113	P15424	S
MWRI6	119	P15454	S
MWRI6	121	P16226	S
MWRI6	117	P336	S
MWRI6	115	P11357	S
MWRI6	116	P1639	C
MWRI6	114	POOL	P
